Controller,Load_kWh,Solar_kWh,Wind_kWh,Renewable_kWh,Renewable_%,Diesel_kWh,Diesel_%,Fuel_L,Diesel_Cost_INR,CO2_kg,Curtailment_kWh,Unserved_kWh,LPSP_%
Greedy Baseline,1180.9710173495564,607.1077328067298,22.876761475941294,629.9844942826711,53.34461938757313,203.93443133621926,17.268368854123757,50.983607834054816,4588.524705064933,136.63606899526692,493.4438696697466,0.0,0.0
MILP Optimizer,1180.9710176121675,1105.0490693000002,23.355205979999997,1128.40427528,95.54885415914327,104.970653,8.888503734176522,26.24266325,2361.8396925,70.33033751,389.76093000000003,0.0,0.0
